"Step","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_07-21-38_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward","2025-05-22_07-21-38_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_07-21-38_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_07-19-28_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward","2025-05-22_07-19-28_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_07-19-28_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_07-19-09_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward","2025-05-22_07-19-09_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_07-19-09_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_07-17-04_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward","2025-05-22_07-17-04_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_07-17-04_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_07-16-54_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward","2025-05-22_07-16-54_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_07-16-54_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_07-16-31_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward","2025-05-22_07-16-31_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_07-16-31_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-10_13-16-07_ant-medium-expert-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_13-16-07_ant-medium-expert-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_13-16-07_ant-medium-expert-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-10_13-16-06_ant-medium-expert-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_13-16-06_ant-medium-expert-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_13-16-06_ant-medium-expert-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","2025-05-09_11-54-21_ant-medium-expert-v2_fql_mlp_ta4_td4 - avg episode reward - eval","2025-05-09_11-54-21_ant-medium-expert-v2_fql_mlp_ta4_td4 - avg episode reward - eval__MIN","2025-05-09_11-54-21_ant-medium-expert-v2_fql_mlp_ta4_td4 - avg episode reward - eval__MAX"
"100","3545.0776728134006","3545.0776728134006","3545.0776728134006","3645.8466830933185","3645.8466830933185","3645.8466830933185","3585.2398998401572","3585.2398998401572","3585.2398998401572","3746.404659757357","3746.404659757357","3746.404659757357","3526.5778091497314","3526.5778091497314","3526.5778091497314","3609.377033472575","3609.377033472575","3609.377033472575","3780.4255493802893","3780.4255493802893","3780.4255493802893","3919.641764542569","3919.641764542569","3919.641764542569","3737.0109870210727","3737.0109870210727","3737.0109870210727","","","","","","","","",""
"110","3592.030622999843","3592.030622999843","3592.030622999843","3865.18261896319","3865.18261896319","3865.18261896319","3618.472564917385","3618.472564917385","3618.472564917385","3712.036248834936","3712.036248834936","3712.036248834936","3667.668806283703","3667.668806283703","3667.668806283703","3690.2601118822568","3690.2601118822568","3690.2601118822568","3868.5524077712134","3868.5524077712134","3868.5524077712134","4034.874231522236","4034.874231522236","4034.874231522236","3854.885934289865","3854.885934289865","3854.885934289865","","","","","","","","",""
"120","3707.6632955180817","3707.6632955180817","3707.6632955180817","3895.8333106164027","3895.8333106164027","3895.8333106164027","3739.439672736138","3739.439672736138","3739.439672736138","3798.635355425549","3798.635355425549","3798.635355425549","3713.4604388742373","3713.4604388742373","3713.4604388742373","3625.2822123363353","3625.2822123363353","3625.2822123363353","3889.265018973777","3889.265018973777","3889.265018973777","3972.476678764743","3972.476678764743","3972.476678764743","3928.620487974218","3928.620487974218","3928.620487974218","","","","","","","","",""
"130","3480.495851598732","3480.495851598732","3480.495851598732","3974.7696475799335","3974.7696475799335","3974.7696475799335","3720.5375304049394","3720.5375304049394","3720.5375304049394","3892.05410770342","3892.05410770342","3892.05410770342","3634.5773884593727","3634.5773884593727","3634.5773884593727","3818.660905874635","3818.660905874635","3818.660905874635","3825.9047307645174","3825.9047307645174","3825.9047307645174","3940.341614254447","3940.341614254447","3940.341614254447","3816.3559168527513","3816.3559168527513","3816.3559168527513","","","","","","","","",""
"140","3678.2243392498613","3678.2243392498613","3678.2243392498613","3942.7362484181444","3942.7362484181444","3942.7362484181444","3735.7568468549885","3735.7568468549885","3735.7568468549885","3687.349720535158","3687.349720535158","3687.349720535158","3836.024611963318","3836.024611963318","3836.024611963318","3764.197615062508","3764.197615062508","3764.197615062508","3849.45505386532","3849.45505386532","3849.45505386532","3955.76559905824","3955.76559905824","3955.76559905824","3839.1914918333723","3839.1914918333723","3839.1914918333723","","","","","","","","",""
"150","3588.861515240516","3588.861515240516","3588.861515240516","3821.1566311140195","3821.1566311140195","3821.1566311140195","3901.00248157602","3901.00248157602","3901.00248157602","3660.0153988396096","3660.0153988396096","3660.0153988396096","3847.134121984479","3847.134121984479","3847.134121984479","3759.399849659425","3759.399849659425","3759.399849659425","3973.4718432539185","3973.4718432539185","3973.4718432539185","4001.6146393228964","4001.6146393228964","4001.6146393228964","3935.3575652914974","3935.3575652914974","3935.3575652914974","","","","","","","","",""
"160","3625.5142293814524","3625.5142293814524","3625.5142293814524","3867.949257577595","3867.949257577595","3867.949257577595","3861.4786254503642","3861.4786254503642","3861.4786254503642","3795.0538959020864","3795.0538959020864","3795.0538959020864","3764.0353072081125","3764.0353072081125","3764.0353072081125","3768.1613489632227","3768.1613489632227","3768.1613489632227","3829.105849861816","3829.105849861816","3829.105849861816","3987.224377535053","3987.224377535053","3987.224377535053","3890.649400287452","3890.649400287452","3890.649400287452","","","","","","","","",""
"170","3620.709392398005","3620.709392398005","3620.709392398005","3872.8022158310355","3872.8022158310355","3872.8022158310355","3751.487710908389","3751.487710908389","3751.487710908389","3844.0435479556145","3844.0435479556145","3844.0435479556145","3897.5784248654586","3897.5784248654586","3897.5784248654586","3606.301653819045","3606.301653819045","3606.301653819045","3843.336169584196","3843.336169584196","3843.336169584196","4074.315071131759","4074.315071131759","4074.315071131759","3864.736480187261","3864.736480187261","3864.736480187261","","","","","","","","",""
"180","3739.3514072239077","3739.3514072239077","3739.3514072239077","3919.6184949909316","3919.6184949909316","3919.6184949909316","3663.8606392009374","3663.8606392009374","3663.8606392009374","3664.998239582819","3664.998239582819","3664.998239582819","3911.9142481951903","3911.9142481951903","3911.9142481951903","3616.3770975032194","3616.3770975032194","3616.3770975032194","3898.191056837774","3898.191056837774","3898.191056837774","4125.732953592259","4125.732953592259","4125.732953592259","3896.364590686238","3896.364590686238","3896.364590686238","","","","","","","","",""
"190","3638.6714173273112","3638.6714173273112","3638.6714173273112","3812.018797001803","3812.018797001803","3812.018797001803","3808.521828323783","3808.521828323783","3808.521828323783","3696.883813215267","3696.883813215267","3696.883813215267","3934.1333005176857","3934.1333005176857","3934.1333005176857","3657.3535252602605","3657.3535252602605","3657.3535252602605","3837.718599500092","3837.718599500092","3837.718599500092","4124.167133744064","4124.167133744064","4124.167133744064","3899.2507784829468","3899.2507784829468","3899.2507784829468","","","","","","","","",""
