"Step","2025-05-10_13-16-07_ant-medium-expert-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_13-16-07_ant-medium-expert-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_13-16-07_ant-medium-expert-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-10_13-16-06_ant-medium-expert-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_13-16-06_ant-medium-expert-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_13-16-06_ant-medium-expert-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","2025-05-09_11-54-21_ant-medium-expert-v0_fql_mlp_ta4_td4 - avg episode reward - eval","2025-05-09_11-54-21_ant-medium-expert-v0_fql_mlp_ta4_td4 - avg episode reward - eval__MIN","2025-05-09_11-54-21_ant-medium-expert-v0_fql_mlp_ta4_td4 - avg episode reward - eval__MAX","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-04-20_20-30-25_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-04-20_20-30-25_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-04-20_20-30-25_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-04-20_20-30-16_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-04-20_20-30-16_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-04-20_20-30-16_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-04-20_10-14-30_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-04-20_10-14-30_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-04-20_10-14-30_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-04-02_10-49-55_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval","2025-04-02_10-49-55_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MIN","2025-04-02_10-49-55_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MAX","2025-04-02_10-49-52_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval","2025-04-02_10-49-52_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MIN","2025-04-02_10-49-52_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MAX","2025-03-29_20-57-49_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval","2025-03-29_20-57-49_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MIN","2025-03-29_20-57-49_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MAX"
"100","","","","","","","","","","2549.181218549953","2549.181218549953","2549.181218549953","2531.840406692599","2531.840406692599","2531.840406692599","2365.532816428221","2365.532816428221","2365.532816428221","2595.4098188739963","2595.4098188739963","2595.4098188739963","2667.9068726931982","2667.9068726931982","2667.9068726931982","2633.5917401768115","2633.5917401768115","2633.5917401768115","2608.5628322623006","2608.5628322623006","2608.5628322623006","2591.6403833935137","2591.6403833935137","2591.6403833935137","2477.9097236673624","2477.9097236673624","2477.9097236673624"
"110","","","","","","","","","","2490.318943010402","2490.318943010402","2490.318943010402","2370.60123802448","2370.60123802448","2370.60123802448","2471.699736524632","2471.699736524632","2471.699736524632","2621.906431439373","2621.906431439373","2621.906431439373","2944.4744519675537","2944.4744519675537","2944.4744519675537","2652.4639492855968","2652.4639492855968","2652.4639492855968","2767.5856629854798","2767.5856629854798","2767.5856629854798","2449.0674408101604","2449.0674408101604","2449.0674408101604","2544.2236760803908","2544.2236760803908","2544.2236760803908"
"120","","","","","","","","","","2630.0124849861145","2630.0124849861145","2630.0124849861145","2666.8267975021945","2666.8267975021945","2666.8267975021945","2667.7302366012404","2667.7302366012404","2667.7302366012404","2789.4550505947764","2789.4550505947764","2789.4550505947764","2920.745438249998","2920.745438249998","2920.745438249998","2687.3642386950573","2687.3642386950573","2687.3642386950573","2845.2374137942757","2845.2374137942757","2845.2374137942757","2570.438159485351","2570.438159485351","2570.438159485351","2742.2701068282468","2742.2701068282468","2742.2701068282468"
"130","","","","","","","","","","2725.9289347057666","2725.9289347057666","2725.9289347057666","2674.503484403914","2674.503484403914","2674.503484403914","2776.306753593935","2776.306753593935","2776.306753593935","2882.537101402081","2882.537101402081","2882.537101402081","2950.517412841004","2950.517412841004","2950.517412841004","2686.7209409539328","2686.7209409539328","2686.7209409539328","2747.192061731984","2747.192061731984","2747.192061731984","2556.8694681277957","2556.8694681277957","2556.8694681277957","2761.8962133894","2761.8962133894","2761.8962133894"
"140","","","","","","","","","","2750.879033117849","2750.879033117849","2750.879033117849","2669.0095323642886","2669.0095323642886","2669.0095323642886","2750.227120754844","2750.227120754844","2750.227120754844","3046.4365544189704","3046.4365544189704","3046.4365544189704","3033.4686092181605","3033.4686092181605","3033.4686092181605","2929.021167580379","2929.021167580379","2929.021167580379","2766.0876640331835","2766.0876640331835","2766.0876640331835","2650.9649346110828","2650.9649346110828","2650.9649346110828","2647.812065710007","2647.812065710007","2647.812065710007"
"150","","","","","","","","","","2631.2535404124415","2631.2535404124415","2631.2535404124415","2789.64261135104","2789.64261135104","2789.64261135104","2830.321245623162","2830.321245623162","2830.321245623162","3065.008595752822","3065.008595752822","3065.008595752822","3149.1635576489925","3149.1635576489925","3149.1635576489925","2861.1345901751492","2861.1345901751492","2861.1345901751492","2802.3670951626746","2802.3670951626746","2802.3670951626746","2592.9286097406984","2592.9286097406984","2592.9286097406984","2813.7706153149293","2813.7706153149293","2813.7706153149293"
"160","","","","","","","","","","2724.3473096157177","2724.3473096157177","2724.3473096157177","2766.936115667234","2766.936115667234","2766.936115667234","2868.6972820528053","2868.6972820528053","2868.6972820528053","2823.8337016858686","2823.8337016858686","2823.8337016858686","3091.1590218830374","3091.1590218830374","3091.1590218830374","2910.5322414796547","2910.5322414796547","2910.5322414796547","2911.1325337315534","2911.1325337315534","2911.1325337315534","2788.390829419039","2788.390829419039","2788.390829419039","2826.195831330592","2826.195831330592","2826.195831330592"
"170","","","","","","","","","","2709.5856130878606","2709.5856130878606","2709.5856130878606","2841.7981500217074","2841.7981500217074","2841.7981500217074","2760.120933042308","2760.120933042308","2760.120933042308","2817.139939266289","2817.139939266289","2817.139939266289","2929.513176284786","2929.513176284786","2929.513176284786","2885.9509210677215","2885.9509210677215","2885.9509210677215","2915.2006636142396","2915.2006636142396","2915.2006636142396","2872.5170369399216","2872.5170369399216","2872.5170369399216","2863.7088866177073","2863.7088866177073","2863.7088866177073"
"180","","","","","","","","","","2779.451013185125","2779.451013185125","2779.451013185125","2714.4301258545274","2714.4301258545274","2714.4301258545274","2889.6378264323257","2889.6378264323257","2889.6378264323257","2858.6395856386766","2858.6395856386766","2858.6395856386766","3049.224022793705","3049.224022793705","3049.224022793705","2940.7498730338093","2940.7498730338093","2940.7498730338093","2926.2128765242596","2926.2128765242596","2926.2128765242596","2824.2277517502644","2824.2277517502644","2824.2277517502644","2979.5984442383888","2979.5984442383888","2979.5984442383888"
"190","","","","","","","","","","2869.0375220347073","2869.0375220347073","2869.0375220347073","2702.1185015628052","2702.1185015628052","2702.1185015628052","2976.578245404003","2976.578245404003","2976.578245404003","2865.2453821987183","2865.2453821987183","2865.2453821987183","3102.349008535032","3102.349008535032","3102.349008535032","2821.4280233309682","2821.4280233309682","2821.4280233309682","2958.84124609475","2958.84124609475","2958.84124609475","2762.1489545554505","2762.1489545554505","2762.1489545554505","2944.4415258538043","2944.4415258538043","2944.4415258538043"
