"Step","2025-05-15_13-42-27_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed0 - eval/success rate","2025-05-15_13-42-27_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed0 - eval/success rate__MIN","2025-05-15_13-42-27_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed0 - eval/success rate__MAX","2025-05-15_05-45-54_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed3407 - eval/success rate","2025-05-15_05-45-54_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed3407 - eval/success rate__MIN","2025-05-15_05-45-54_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed3407 - eval/success rate__MAX","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate__MIN","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate__MAX","2025-05-05_04-37-30_square_ft_gaussian_mlp_img_ta4_3407 - success rate - eval","2025-05-05_04-37-30_square_ft_gaussian_mlp_img_ta4_3407 - success rate - eval__MIN","2025-05-05_04-37-30_square_ft_gaussian_mlp_img_ta4_3407 - success rate - eval__MAX","2025-05-04_16-39-38_square_ft_gaussian_mlp_img_ta4_0 - success rate - eval","2025-05-04_16-39-38_square_ft_gaussian_mlp_img_ta4_0 - success rate - eval__MIN","2025-05-04_16-39-38_square_ft_gaussian_mlp_img_ta4_0 - success rate - eval__MAX","2025-05-03_17-45-00_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed42 - eval/success rate","2025-05-03_17-45-00_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed42 - eval/success rate__MIN","2025-05-03_17-45-00_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed42 - eval/success rate__MAX","2025-04-30_00-19-09_square_ft_gaussian_mlp_img_ta4_42 - success rate - eval","2025-04-30_00-19-09_square_ft_gaussian_mlp_img_ta4_42 - success rate - eval__MIN","2025-04-30_00-19-09_square_ft_gaussian_mlp_img_ta4_42 - success rate - eval__MAX","2025-04-25_23-20-30_square_ft_diffusion_mlp_img_ta4_td100_tdf5_3407 - eval/success rate","2025-04-25_23-20-30_square_ft_diffusion_mlp_img_ta4_td100_tdf5_3407 - eval/success rate__MIN","2025-04-25_23-20-30_square_ft_diffusion_mlp_img_ta4_td100_tdf5_3407 - eval/success rate__MAX","2025-04-25_23-09-10_square_ft_diffusion_mlp_img_ta4_td100_tdf5_0 - eval/success rate","2025-04-25_23-09-10_square_ft_diffusion_mlp_img_ta4_td100_tdf5_0 - eval/success rate__MIN","2025-04-25_23-09-10_square_ft_diffusion_mlp_img_ta4_td100_tdf5_0 - eval/success rate__MAX","2025-04-25_22-54-55_square_ft_diffusion_mlp_img_ta4_td100_tdf5_42 - eval/success rate","2025-04-25_22-54-55_square_ft_diffusion_mlp_img_ta4_td100_tdf5_42 - eval/success rate__MIN","2025-04-25_22-54-55_square_ft_diffusion_mlp_img_ta4_td100_tdf5_42 - eval/success rate__MAX","2025-04-23_03-00-22_square_ft_reflow_mlp_img_td4_td1_tdf1_seed3407 - eval/success rate","2025-04-23_03-00-22_square_ft_reflow_mlp_img_td4_td1_tdf1_seed3407 - eval/success rate__MIN","2025-04-23_03-00-22_square_ft_reflow_mlp_img_td4_td1_tdf1_seed3407 - eval/success rate__MAX","2025-04-16_10-51-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate","2025-04-16_10-51-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate__MIN","2025-04-16_10-51-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate__MAX"
"120","0.615","0.615","0.615","0.64","0.64","0.64","","","","0.09","0.09","0.09","0.115","0.115","0.115","0.61","0.61","0.61","0.085","0.085","0.085","0.545","0.545","0.545","0.515","0.515","0.515","0.585","0.585","0.585","0.605","0.605","0.605","0.565","0.565","0.565"
"121","","","","","","","0.565","0.565","0.565","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130","0.62","0.62","0.62","0.63","0.63","0.63","","","","0.13","0.13","0.13","0.11","0.11","0.11","0.61","0.61","0.61","0.1","0.1","0.1","0.505","0.505","0.505","0.515","0.515","0.515","0.54","0.54","0.54","0.59","0.59","0.59","0.58","0.58","0.58"
"131","","","","","","","0.575","0.575","0.575","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"140","0.61","0.61","0.61","0.635","0.635","0.635","","","","0.13","0.13","0.13","0.13","0.13","0.13","0.645","0.645","0.645","0.15","0.15","0.15","0.585","0.585","0.585","0.565","0.565","0.565","0.655","0.655","0.655","0.59","0.59","0.59","0.62","0.62","0.62"
"141","","","","","","","0.605","0.605","0.605","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"150","0.68","0.68","0.68","0.695","0.695","0.695","","","","0.125","0.125","0.125","0.18","0.18","0.18","0.675","0.675","0.675","0.175","0.175","0.175","0.655","0.655","0.655","0.58","0.58","0.58","0.61","0.61","0.61","0.665","0.665","0.665","0.615","0.615","0.615"
"151","","","","","","","0.6","0.6","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"160","0.65","0.65","0.65","0.62","0.62","0.62","","","","0.105","0.105","0.105","0.13","0.13","0.13","0.7","0.7","0.7","0.19","0.19","0.19","0.585","0.585","0.585","0.615","0.615","0.615","0.67","0.67","0.67","0.615","0.615","0.615","0.69","0.69","0.69"
"161","","","","","","","0.56","0.56","0.56","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170","0.65","0.65","0.65","0.67","0.67","0.67","","","","0.17","0.17","0.17","0.13","0.13","0.13","0.64","0.64","0.64","0.08","0.08","0.08","0.665","0.665","0.665","0.55","0.55","0.55","0.725","0.725","0.725","0.735","0.735","0.735","0.615","0.615","0.615"
"171","","","","","","","0.59","0.59","0.59","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"180","0.715","0.715","0.715","0.675","0.675","0.675","","","","0.115","0.115","0.115","0.2","0.2","0.2","0.695","0.695","0.695","0.135","0.135","0.135","0.66","0.66","0.66","0.665","0.665","0.665","0.63","0.63","0.63","0.665","0.665","0.665","0.635","0.635","0.635"
"181","","","","","","","0.59","0.59","0.59","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"190","0.685","0.685","0.685","0.61","0.61","0.61","","","","0.15","0.15","0.15","0.16","0.16","0.16","0.67","0.67","0.67","0.17","0.17","0.17","0.665","0.665","0.665","0.615","0.615","0.615","0.65","0.65","0.65","0.725","0.725","0.725","0.67","0.67","0.67"
"191","","","","","","","0.62","0.62","0.62","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200","0.725","0.725","0.725","0.66","0.66","0.66","","","","0.135","0.135","0.135","0.22","0.22","0.22","0.725","0.725","0.725","0.165","0.165","0.165","0.675","0.675","0.675","0.68","0.68","0.68","0.725","0.725","0.725","0.75","0.75","0.75","0.715","0.715","0.715"
"201","","","","","","","0.57","0.57","0.57","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"210","0.695","0.695","0.695","0.74","0.74","0.74","","","","0.205","0.205","0.205","0.24","0.24","0.24","0.685","0.685","0.685","0.175","0.175","0.175","0.7","0.7","0.7","0.685","0.685","0.685","0.745","0.745","0.745","0.68","0.68","0.68","0.71","0.71","0.71"
"211","","","","","","","0.655","0.655","0.655","","","","","","","","","","","","","","","","","","","","","","","","","","",""
