"Step","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","17-52-52_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval","17-52-52_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MIN","17-52-52_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MAX","17-52-02_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval","17-52-02_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MIN","17-52-02_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MAX","2025-05-10_17-42-59_kitchen-complete-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval","2025-05-10_17-42-59_kitchen-complete-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MIN","2025-05-10_17-42-59_kitchen-complete-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MAX","2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward","2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward__MIN","2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward__MAX","2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward","2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward__MIN","2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward__MAX","2025-05-08_07-05-08_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval","2025-05-08_07-05-08_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MIN","2025-05-08_07-05-08_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MAX","2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward","2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MIN","2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MAX"
"110","","","","","","","3.475","3.475","3.475","3.6","3.6","3.6","","","","3.75177304964539","3.75177304964539","3.75177304964539","3.8344827586206898","3.8344827586206898","3.8344827586206898","3.9245283018867925","3.9245283018867925","3.9245283018867925","3.892405063291139","3.892405063291139","3.892405063291139"
"120","","","","","","","3.75","3.75","3.75","3.7","3.7","3.7","","","","3.8562091503267975","3.8562091503267975","3.8562091503267975","3.8424657534246576","3.8424657534246576","3.8424657534246576","3.911949685534591","3.911949685534591","3.911949685534591","3.9685534591194966","3.9685534591194966","3.9685534591194966"
"130","","","","","","","3.9","3.9","3.9","3.95","3.95","3.95","","","","3.8543046357615895","3.8543046357615895","3.8543046357615895","3.9205298013245033","3.9205298013245033","3.9205298013245033","3.917197452229299","3.917197452229299","3.917197452229299","3.949044585987261","3.949044585987261","3.949044585987261"
"140","","","","","","","3.75","3.75","3.75","3.725","3.725","3.725","","","","3.883116883116883","3.883116883116883","3.883116883116883","3.8993288590604025","3.8993288590604025","3.8993288590604025","3.925","3.925","3.925","3.9044585987261144","3.9044585987261144","3.9044585987261144"
"150","","","","","","","3.825","3.825","3.825","3.575","3.575","3.575","","","","3.8701298701298703","3.8701298701298703","3.8701298701298703","3.947712418300654","3.947712418300654","3.947712418300654","3.96875","3.96875","3.96875","3.96875","3.96875","3.96875"
"160","","","","","","","3.725","3.725","3.725","3.55","3.55","3.55","","","","3.878205128205128","3.878205128205128","3.878205128205128","3.948051948051948","3.948051948051948","3.948051948051948","3.9","3.9","3.9","3.925","3.925","3.925"
"170","","","","","","","3.725","3.725","3.725","3.75","3.75","3.75","","","","3.8525641025641026","3.8525641025641026","3.8525641025641026","3.973856209150327","3.973856209150327","3.973856209150327","3.95","3.95","3.95","3.9182389937106916","3.9182389937106916","3.9182389937106916"
"180","","","","","","","3.75","3.75","3.75","3.575","3.575","3.575","","","","3.8516129032258064","3.8516129032258064","3.8516129032258064","3.949044585987261","3.949044585987261","3.949044585987261","3.9625","3.9625","3.9625","3.9182389937106916","3.9182389937106916","3.9182389937106916"
"190","","","","","","","3.8","3.8","3.8","3.575","3.575","3.575","","","","3.9367088607594938","3.9367088607594938","3.9367088607594938","3.9545454545454546","3.9545454545454546","3.9545454545454546","3.99375","3.99375","3.99375","3.938650306748466","3.938650306748466","3.938650306748466"
"200","","","","","","","3.55","3.55","3.55","3.8","3.8","3.8","","","","3.929936305732484","3.929936305732484","3.929936305732484","3.935064935064935","3.935064935064935","3.935064935064935","4","4","4","3.950617283950617","3.950617283950617","3.950617283950617"
"210","","","","","","","3.6","3.6","3.6","3.575","3.575","3.575","","","","3.9235668789808917","3.9235668789808917","3.9235668789808917","3.9276315789473686","3.9276315789473686","3.9276315789473686","3.9685534591194966","3.9685534591194966","3.9685534591194966","3.90625","3.90625","3.90625"
"220","","","","","","","3.8","3.8","3.8","3.75","3.75","3.75","","","","3.9875","3.9875","3.9875","3.9805194805194803","3.9805194805194803","3.9805194805194803","3.9751552795031055","3.9751552795031055","3.9751552795031055","3.932515337423313","3.932515337423313","3.932515337423313"
