"Step","2025-05-13_14-00-20_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed0 - eval/success rate","2025-05-13_14-00-20_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed0 - eval/success rate__MIN","2025-05-13_14-00-20_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed0 - eval/success rate__MAX","2025-05-10_13-04-44_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed3407 - eval/success rate","2025-05-10_13-04-44_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed3407 - eval/success rate__MIN","2025-05-10_13-04-44_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed3407 - eval/success rate__MAX","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate__MIN","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate__MAX","2025-05-04_14-00-20_square_ft_reflow_mlp_img_td4_td1_tdf1_seed0 - eval/success rate","2025-05-04_14-00-20_square_ft_reflow_mlp_img_td4_td1_tdf1_seed0 - eval/success rate__MIN","2025-05-04_14-00-20_square_ft_reflow_mlp_img_td4_td1_tdf1_seed0 - eval/success rate__MAX","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed3407 - eval/success rate","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed3407 - eval/success rate__MIN","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed3407 - eval/success rate__MAX","2025-05-04_02-06-42_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed42 - eval/success rate","2025-05-04_02-06-42_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed42 - eval/success rate__MIN","2025-05-04_02-06-42_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed42 - eval/success rate__MAX","2025-05-03_17-58-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate","2025-05-03_17-58-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate__MIN","2025-05-03_17-58-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate__MAX","2025-04-23_03-00-22_square_ft_reflow_mlp_img_td4_td1_tdf1_seed3407 - eval/success rate","2025-04-23_03-00-22_square_ft_reflow_mlp_img_td4_td1_tdf1_seed3407 - eval/success rate__MIN","2025-04-23_03-00-22_square_ft_reflow_mlp_img_td4_td1_tdf1_seed3407 - eval/success rate__MAX","2025-04-16_10-51-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate","2025-04-16_10-51-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate__MIN","2025-04-16_10-51-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate__MAX"
"121","","","","","","","0.62","0.62","0.62","0.565","0.565","0.565","","","","","","","","","","","","","","",""
"130","0.68","0.68","0.68","0.685","0.685","0.685","","","","","","","0.68","0.68","0.68","0.595","0.595","0.595","0.685","0.685","0.685","0.59","0.59","0.59","0.58","0.58","0.58"
"131","","","","","","","0.625","0.625","0.625","0.575","0.575","0.575","","","","","","","","","","","","","","",""
"140","0.655","0.655","0.655","0.64","0.64","0.64","","","","","","","0.775","0.775","0.775","0.59","0.59","0.59","0.72","0.72","0.72","0.59","0.59","0.59","0.62","0.62","0.62"
"141","","","","","","","0.685","0.685","0.685","0.605","0.605","0.605","","","","","","","","","","","","","","",""
"150","0.685","0.685","0.685","0.74","0.74","0.74","","","","","","","0.745","0.745","0.745","0.57","0.57","0.57","0.715","0.715","0.715","0.665","0.665","0.665","0.615","0.615","0.615"
"151","","","","","","","0.71","0.71","0.71","0.6","0.6","0.6","","","","","","","","","","","","","","",""
"160","0.695","0.695","0.695","0.725","0.725","0.725","","","","","","","0.785","0.785","0.785","0.645","0.645","0.645","0.725","0.725","0.725","0.615","0.615","0.615","0.69","0.69","0.69"
"161","","","","","","","0.725","0.725","0.725","0.56","0.56","0.56","","","","","","","","","","","","","","",""
"170","0.74","0.74","0.74","0.705","0.705","0.705","","","","","","","0.765","0.765","0.765","0.615","0.615","0.615","0.725","0.725","0.725","0.735","0.735","0.735","0.615","0.615","0.615"
"171","","","","","","","0.74","0.74","0.74","0.59","0.59","0.59","","","","","","","","","","","","","","",""
"180","0.745","0.745","0.745","0.775","0.775","0.775","","","","","","","0.8","0.8","0.8","0.59","0.59","0.59","0.67","0.67","0.67","0.665","0.665","0.665","0.635","0.635","0.635"
"181","","","","","","","0.715","0.715","0.715","0.59","0.59","0.59","","","","","","","","","","","","","","",""
"190","0.735","0.735","0.735","0.735","0.735","0.735","","","","","","","0.775","0.775","0.775","0.65","0.65","0.65","0.765","0.765","0.765","0.725","0.725","0.725","0.67","0.67","0.67"
"191","","","","","","","0.735","0.735","0.735","0.62","0.62","0.62","","","","","","","","","","","","","","",""
"197","0.73","0.73","0.73","","","","","","","","","","","","","","","","","","","","","","","",""
"200","","","","0.745","0.745","0.745","","","","","","","0.785","0.785","0.785","0.67","0.67","0.67","0.825","0.825","0.825","0.75","0.75","0.75","0.715","0.715","0.715"
"201","0.72","0.72","0.72","","","","0.795","0.795","0.795","0.57","0.57","0.57","","","","","","","","","","","","","","",""
"210","","","","0.795","0.795","0.795","","","","","","","0.83","0.83","0.83","0.665","0.665","0.665","0.745","0.745","0.745","0.68","0.68","0.68","0.71","0.71","0.71"
"211","0.725","0.725","0.725","","","","0.795","0.795","0.795","0.655","0.655","0.655","","","","","","","","","","","","","","",""
"220","","","","0.775","0.775","0.775","","","","","","","0.75","0.75","0.75","0.715","0.715","0.715","0.74","0.74","0.74","0.665","0.665","0.665","0.685","0.685","0.685"
