"Step","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","2025-05-09_11-54-21_walker2d-medium-v2_fql_mlp_ta4_td4 - avg episode reward - eval","2025-05-09_11-54-21_walker2d-medium-v2_fql_mlp_ta4_td4 - avg episode reward - eval__MIN","2025-05-09_11-54-21_walker2d-medium-v2_fql_mlp_ta4_td4 - avg episode reward - eval__MAX","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-04-28_22-04-39_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-04-28_22-04-39_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-04-28_22-04-39_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-04-28_22-04-31_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-04-28_22-04-31_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-04-28_22-04-31_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-04-28_22-04-18_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-04-28_22-04-18_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-04-28_22-04-18_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-03-29_21-28-47_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval","2025-03-29_21-28-47_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MIN","2025-03-29_21-28-47_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MAX","11-20-23_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval","11-20-23_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MIN","11-20-23_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MAX","11-19-45_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval","11-19-45_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MIN","11-19-45_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MAX"
"100","","","","","","","","","","3873.722177016802","3873.722177016802","3873.722177016802","3940.7734419504295","3940.7734419504295","3940.7734419504295","3892.49255654578","3892.49255654578","3892.49255654578","3913.3351221510684","3913.3351221510684","3913.3351221510684","3849.1507340189055","3849.1507340189055","3849.1507340189055","3777.408932868652","3777.408932868652","3777.408932868652","3548.644663620061","3548.644663620061","3548.644663620061","3673.2300279234782","3673.2300279234782","3673.2300279234782","3467.651947449176","3467.651947449176","3467.651947449176"
"110","","","","","","","","","","3872.2002028592265","3872.2002028592265","3872.2002028592265","3974.674868252295","3974.674868252295","3974.674868252295","3898.630155435722","3898.630155435722","3898.630155435722","3887.224582975403","3887.224582975403","3887.224582975403","3887.2755438613226","3887.2755438613226","3887.2755438613226","3809.477145089762","3809.477145089762","3809.477145089762","3534.7904986066033","3534.7904986066033","3534.7904986066033","3758.2044679656296","3758.2044679656296","3758.2044679656296","3444.9230321093746","3444.9230321093746","3444.9230321093746"
"120","","","","","","","","","","3973.195923487516","3973.195923487516","3973.195923487516","4014.2208822736347","4014.2208822736347","4014.2208822736347","3841.86354678244","3841.86354678244","3841.86354678244","3905.465970065121","3905.465970065121","3905.465970065121","3918.3674416230874","3918.3674416230874","3918.3674416230874","3821.697711075399","3821.697711075399","3821.697711075399","3551.308788356501","3551.308788356501","3551.308788356501","3750.4848531177727","3750.4848531177727","3750.4848531177727","3540.0996921388237","3540.0996921388237","3540.0996921388237"
"130","","","","","","","","","","3968.1758251242295","3968.1758251242295","3968.1758251242295","4049.2972400474378","4049.2972400474378","4049.2972400474378","3846.6622917730556","3846.6622917730556","3846.6622917730556","3997.8803836287975","3997.8803836287975","3997.8803836287975","3961.2979576791668","3961.2979576791668","3961.2979576791668","3882.3228105780627","3882.3228105780627","3882.3228105780627","3554.464686611852","3554.464686611852","3554.464686611852","3670.187866695806","3670.187866695806","3670.187866695806","3517.691631804934","3517.691631804934","3517.691631804934"
"140","","","","","","","","","","4050.4605638805106","4050.4605638805106","4050.4605638805106","4004.8874149179123","4004.8874149179123","4004.8874149179123","3888.227505368558","3888.227505368558","3888.227505368558","3992.077080540893","3992.077080540893","3992.077080540893","4006.8105873217983","4006.8105873217983","4006.8105873217983","3872.3704521569466","3872.3704521569466","3872.3704521569466","3466.263597820035","3466.263597820035","3466.263597820035","3710.344441347764","3710.344441347764","3710.344441347764","3553.1217177310286","3553.1217177310286","3553.1217177310286"
"150","","","","","","","","","","4061.559117368445","4061.559117368445","4061.559117368445","4042.329919750811","4042.329919750811","4042.329919750811","3898.803722423056","3898.803722423056","3898.803722423056","4056.522297120295","4056.522297120295","4056.522297120295","4005.6029347756657","4005.6029347756657","4005.6029347756657","3890.4650988927724","3890.4650988927724","3890.4650988927724","3442.3158915013364","3442.3158915013364","3442.3158915013364","3697.066987200183","3697.066987200183","3697.066987200183","3573.230109505615","3573.230109505615","3573.230109505615"
"160","","","","","","","","","","4069.0710861566354","4069.0710861566354","4069.0710861566354","4079.2358837731576","4079.2358837731576","4079.2358837731576","3857.767251858296","3857.767251858296","3857.767251858296","4065.2106809441802","4065.2106809441802","4065.2106809441802","3997.4289837188044","3997.4289837188044","3997.4289837188044","3914.9705261974586","3914.9705261974586","3914.9705261974586","3526.395593346745","3526.395593346745","3526.395593346745","3635.5863820718346","3635.5863820718346","3635.5863820718346","3613.3240935471867","3613.3240935471867","3613.3240935471867"
"170","","","","","","","","","","4045.0148877689776","4045.0148877689776","4045.0148877689776","4026.8417950145013","4026.8417950145013","4026.8417950145013","3881.5929174402454","3881.5929174402454","3881.5929174402454","4120.444033247679","4120.444033247679","4120.444033247679","4061.1446834884723","4061.1446834884723","4061.1446834884723","3895.633735774333","3895.633735774333","3895.633735774333","3410.9725542596525","3410.9725542596525","3410.9725542596525","3665.469347403171","3665.469347403171","3665.469347403171","3629.563084470677","3629.563084470677","3629.563084470677"
"180","","","","","","","","","","4030.245151620893","4030.245151620893","4030.245151620893","4064.335008112516","4064.335008112516","4064.335008112516","3852.522332275479","3852.522332275479","3852.522332275479","4101.073013967258","4101.073013967258","4101.073013967258","4153.129555168138","4153.129555168138","4153.129555168138","3890.6083752127633","3890.6083752127633","3890.6083752127633","3362.59828194004","3362.59828194004","3362.59828194004","3665.9672503977868","3665.9672503977868","3665.9672503977868","3545.0648653050885","3545.0648653050885","3545.0648653050885"
"190","","","","","","","","","","4024.640796966852","4024.640796966852","4024.640796966852","4094.107126056285","4094.107126056285","4094.107126056285","3831.8336588477264","3831.8336588477264","3831.8336588477264","4144.302480517295","4144.302480517295","4144.302480517295","4145.034922467761","4145.034922467761","4145.034922467761","3894.819240204249","3894.819240204249","3894.819240204249","3443.8895393596713","3443.8895393596713","3443.8895393596713","3648.645237043701","3648.645237043701","3648.645237043701","3662.6628476462856","3662.6628476462856","3662.6628476462856"
"200","","","","","","","","","","4082.5934512268914","4082.5934512268914","4082.5934512268914","4054.894956877426","4054.894956877426","4054.894956877426","3862.976708924712","3862.976708924712","3862.976708924712","4197.483833303564","4197.483833303564","4197.483833303564","4102.150948262773","4102.150948262773","4102.150948262773","3942.4628026819614","3942.4628026819614","3942.4628026819614","3478.62978098709","3478.62978098709","3478.62978098709","3696.0517939215983","3696.0517939215983","3696.0517939215983","3626.300326652411","3626.300326652411","3626.300326652411"
"210","","","","","","","","","","4109.592476256352","4109.592476256352","4109.592476256352","4054.302983291557","4054.302983291557","4054.302983291557","3845.918454679486","3845.918454679486","3845.918454679486","4191.3396543937315","4191.3396543937315","4191.3396543937315","4143.32025166234","4143.32025166234","4143.32025166234","3969.9060974791923","3969.9060974791923","3969.9060974791923","3528.0387923519374","3528.0387923519374","3528.0387923519374","3689.831089386041","3689.831089386041","3689.831089386041","3659.7119493219916","3659.7119493219916","3659.7119493219916"
"220","","","","","","","","","","4108.588694321352","4108.588694321352","4108.588694321352","4038.841525300576","4038.841525300576","4038.841525300576","3873.34692648067","3873.34692648067","3873.34692648067","4203.119505749842","4203.119505749842","4203.119505749842","4103.919534208106","4103.919534208106","4103.919534208106","3981.4448173852043","3981.4448173852043","3981.4448173852043","3661.781110860496","3661.781110860496","3661.781110860496","3645.169860265033","3645.169860265033","3645.169860265033","3600.0138662036684","3600.0138662036684","3600.0138662036684"
"230","","","","","","","","","","4100.980521361689","4100.980521361689","4100.980521361689","4060.74101442385","4060.74101442385","4060.74101442385","3891.6521154197617","3891.6521154197617","3891.6521154197617","4264.066808790742","4264.066808790742","4264.066808790742","4135.668633134666","4135.668633134666","4135.668633134666","4071.0217003077023","4071.0217003077023","4071.0217003077023","3679.1000345282605","3679.1000345282605","3679.1000345282605","3606.0143941460933","3606.0143941460933","3606.0143941460933","3478.0714143103114","3478.0714143103114","3478.0714143103114"
"240","","","","","","","","","","4044.0719344366007","4044.0719344366007","4044.0719344366007","4075.9693684631798","4075.9693684631798","4075.9693684631798","3890.6611646071788","3890.6611646071788","3890.6611646071788","4252.641269629658","4252.641269629658","4252.641269629658","4151.166733122532","4151.166733122532","4151.166733122532","4082.3850787497277","4082.3850787497277","4082.3850787497277","3661.5299461084273","3661.5299461084273","3661.5299461084273","3625.0129919806423","3625.0129919806423","3625.0129919806423","3613.472098085823","3613.472098085823","3613.472098085823"
"250","","","","","","","","","","4074.3062262178564","4074.3062262178564","4074.3062262178564","4096.594000801308","4096.594000801308","4096.594000801308","3849.928003140638","3849.928003140638","3849.928003140638","4206.334447965215","4206.334447965215","4206.334447965215","4125.643835284713","4125.643835284713","4125.643835284713","4077.71187325692","4077.71187325692","4077.71187325692","3611.1444422318077","3611.1444422318077","3611.1444422318077","3636.017236955202","3636.017236955202","3636.017236955202","3546.982056051773","3546.982056051773","3546.982056051773"
"260","","","","","","","","","","4119.826139154151","4119.826139154151","4119.826139154151","4129.43628935288","4129.43628935288","4129.43628935288","3873.2063081774786","3873.2063081774786","3873.2063081774786","4200.655081038006","4200.655081038006","4200.655081038006","4115.899843006833","4115.899843006833","4115.899843006833","4085.935636808009","4085.935636808009","4085.935636808009","3592.757668690529","3592.757668690529","3592.757668690529","3626.5511536375175","3626.5511536375175","3626.5511536375175","3629.053076418151","3629.053076418151","3629.053076418151"
"270","","","","","","","","","","4150.918790380728","4150.918790380728","4150.918790380728","4156.594008072936","4156.594008072936","4156.594008072936","3862.036585712175","3862.036585712175","3862.036585712175","4192.750486077453","4192.750486077453","4192.750486077453","4199.548426109447","4199.548426109447","4199.548426109447","4045.6005841722917","4045.6005841722917","4045.6005841722917","3475.5589743377373","3475.5589743377373","3475.5589743377373","3611.966895459408","3611.966895459408","3611.966895459408","3603.727896737073","3603.727896737073","3603.727896737073"
"280","","","","","","","","","","4169.578173168193","4169.578173168193","4169.578173168193","4194.617920652293","4194.617920652293","4194.617920652293","3907.8394010839097","3907.8394010839097","3907.8394010839097","4157.952167950697","4157.952167950697","4157.952167950697","4213.038775250543","4213.038775250543","4213.038775250543","4091.551022548921","4091.551022548921","4091.551022548921","3563.136601188894","3563.136601188894","3563.136601188894","3590.9362449135324","3590.9362449135324","3590.9362449135324","3635.828982364117","3635.828982364117","3635.828982364117"
"290","","","","","","","","","","4149.944070502612","4149.944070502612","4149.944070502612","4174.613074206163","4174.613074206163","4174.613074206163","3975.280231604539","3975.280231604539","3975.280231604539","4140.594596689932","4140.594596689932","4140.594596689932","4171.239520266483","4171.239520266483","4171.239520266483","4081.18857516327","4081.18857516327","4081.18857516327","3575.3623091588365","3575.3623091588365","3575.3623091588365","3603.480873427594","3603.480873427594","3603.480873427594","3669.7223218910367","3669.7223218910367","3669.7223218910367"
"300","","","","","","","","","","4137.759655608105","4137.759655608105","4137.759655608105","4183.735348053585","4183.735348053585","4183.735348053585","3957.055203452973","3957.055203452973","3957.055203452973","4203.793262861906","4203.793262861906","4203.793262861906","4224.944693202079","4224.944693202079","4224.944693202079","4089.7564027424696","4089.7564027424696","4089.7564027424696","3550.9662625513242","3550.9662625513242","3550.9662625513242","3530.1089649245923","3530.1089649245923","3530.1089649245923","3643.054954151924","3643.054954151924","3643.054954151924"
"310","","","","","","","","","","4118.027301022446","4118.027301022446","4118.027301022446","4076.7983301792933","4076.7983301792933","4076.7983301792933","3914.787503615965","3914.787503615965","3914.787503615965","4271.824417417649","4271.824417417649","4271.824417417649","4217.470888554261","4217.470888554261","4217.470888554261","4009.0821340511575","4009.0821340511575","4009.0821340511575","3558.5781221432567","3558.5781221432567","3558.5781221432567","3584.1179899054755","3584.1179899054755","3584.1179899054755","3645.083279327763","3645.083279327763","3645.083279327763"
"320","","","","","","","","","","4122.211346220637","4122.211346220637","4122.211346220637","4100.845798812955","4100.845798812955","4100.845798812955","3885.5551821135005","3885.5551821135005","3885.5551821135005","4215.324597949127","4215.324597949127","4215.324597949127","4195.69223528154","4195.69223528154","4195.69223528154","4129.972280446494","4129.972280446494","4129.972280446494","3603.074613546721","3603.074613546721","3603.074613546721","3597.2935104797316","3597.2935104797316","3597.2935104797316","3662.2632095945037","3662.2632095945037","3662.2632095945037"
"330","","","","","","","","","","4139.784331271124","4139.784331271124","4139.784331271124","4114.342574095782","4114.342574095782","4114.342574095782","3934.1508204361744","3934.1508204361744","3934.1508204361744","4172.463583008731","4172.463583008731","4172.463583008731","4178.993049255745","4178.993049255745","4178.993049255745","4175.881164971894","4175.881164971894","4175.881164971894","3669.878369458044","3669.878369458044","3669.878369458044","3705.786411232305","3705.786411232305","3705.786411232305","3714.1311098415586","3714.1311098415586","3714.1311098415586"
"340","","","","","","","","","","4172.740801289919","4172.740801289919","4172.740801289919","4111.624860932517","4111.624860932517","4111.624860932517","3935.295538248801","3935.295538248801","3935.295538248801","4046.44524249983","4046.44524249983","4046.44524249983","4110.522830623716","4110.522830623716","4110.522830623716","4169.734026950206","4169.734026950206","4169.734026950206","3628.9824629580385","3628.9824629580385","3628.9824629580385","3697.8453331503574","3697.8453331503574","3697.8453331503574","3732.9072705005988","3732.9072705005988","3732.9072705005988"
"350","","","","","","","","","","4170.64783586754","4170.64783586754","4170.64783586754","4093.500093181304","4093.500093181304","4093.500093181304","3947.3739700278993","3947.3739700278993","3947.3739700278993","4027.5438357842927","4027.5438357842927","4027.5438357842927","4087.1188408675516","4087.1188408675516","4087.1188408675516","4104.555913675569","4104.555913675569","4104.555913675569","3712.6680031501332","3712.6680031501332","3712.6680031501332","3750.4796637356003","3750.4796637356003","3750.4796637356003","3767.8574964103113","3767.8574964103113","3767.8574964103113"
"360","","","","","","","","","","4122.692471581405","4122.692471581405","4122.692471581405","4065.759347378451","4065.759347378451","4065.759347378451","3988.0184770652604","3988.0184770652604","3988.0184770652604","4028.380691234969","4028.380691234969","4028.380691234969","4003.501093334511","4003.501093334511","4003.501093334511","4030.553627418651","4030.553627418651","4030.553627418651","3738.59984983174","3738.59984983174","3738.59984983174","3742.307331065378","3742.307331065378","3742.307331065378","3823.6652095262784","3823.6652095262784","3823.6652095262784"
"370","","","","","","","","","","4147.255163857696","4147.255163857696","4147.255163857696","4003.384764937324","4003.384764937324","4003.384764937324","3978.205907593466","3978.205907593466","3978.205907593466","4013.3372740462873","4013.3372740462873","4013.3372740462873","3946.7932679463192","3946.7932679463192","3946.7932679463192","3986.602768228814","3986.602768228814","3986.602768228814","3692.641051858799","3692.641051858799","3692.641051858799","3739.718446693708","3739.718446693708","3739.718446693708","3849.0323740398476","3849.0323740398476","3849.0323740398476"
"380","","","","","","","","","","4222.817089501733","4222.817089501733","4222.817089501733","4037.759233097102","4037.759233097102","4037.759233097102","4027.293264738236","4027.293264738236","4027.293264738236","4056.7294850699427","4056.7294850699427","4056.7294850699427","3937.4541573521383","3937.4541573521383","3937.4541573521383","3906.170109429529","3906.170109429529","3906.170109429529","3669.2491915892506","3669.2491915892506","3669.2491915892506","3815.819566479024","3815.819566479024","3815.819566479024","3821.130068165011","3821.130068165011","3821.130068165011"
