"Step","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed0 - avg episode reward - eval","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed0 - avg episode reward - eval__MIN","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed0 - avg episode reward - eval__MAX","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed3407 - avg episode reward - eval","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed3407 - avg episode reward - eval__MIN","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed3407 - avg episode reward - eval__MAX","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed42 - avg episode reward - eval","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed42 - avg episode reward - eval__MIN","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed42 - avg episode reward - eval__MAX","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-02_11-44-40_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-02_11-44-40_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-02_11-44-40_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-02_11-38-26_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-02_11-38-26_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-02_11-38-26_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-02_11-38-41_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-02_11-38-41_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-02_11-38-41_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-02_01-26-13_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - eval/avg episode reward","2025-05-02_01-26-13_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - eval/avg episode reward__MIN","2025-05-02_01-26-13_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - eval/avg episode reward__MAX"
"100","","","","","","","","","","4931.847254936054","4931.847254936054","4931.847254936054","4940.383197815276","4940.383197815276","4940.383197815276","4620.855138644045","4620.855138644045","4620.855138644045","4655.162754682684","4655.162754682684","4655.162754682684","5081.1080108107035","5081.1080108107035","5081.1080108107035","5033.017703042332","5033.017703042332","5033.017703042332","4896.909265449324","4896.909265449324","4896.909265449324"
"110","","","","","","","","","","5026.006405028004","5026.006405028004","5026.006405028004","4874.545052732994","4874.545052732994","4874.545052732994","4885.466946145423","4885.466946145423","4885.466946145423","4982.879735398514","4982.879735398514","4982.879735398514","4905.187811984116","4905.187811984116","4905.187811984116","5109.380653084394","5109.380653084394","5109.380653084394","5033.933055148813","5033.933055148813","5033.933055148813"
"120","","","","","","","","","","5031.960596768574","5031.960596768574","5031.960596768574","4892.142608765384","4892.142608765384","4892.142608765384","4831.1665609308575","4831.1665609308575","4831.1665609308575","4967.938257775767","4967.938257775767","4967.938257775767","5063.076780755341","5063.076780755341","5063.076780755341","5027.421743066583","5027.421743066583","5027.421743066583","4918.674734607036","4918.674734607036","4918.674734607036"
"130","","","","","","","","","","5050.092481186311","5050.092481186311","5050.092481186311","4984.202689045911","4984.202689045911","4984.202689045911","4805.622544264294","4805.622544264294","4805.622544264294","4739.545558205939","4739.545558205939","4739.545558205939","5047.125909201875","5047.125909201875","5047.125909201875","4973.6391108416565","4973.6391108416565","4973.6391108416565","5027.049386852309","5027.049386852309","5027.049386852309"
"140","","","","","","","","","","5132.191561607401","5132.191561607401","5132.191561607401","4892.522852827054","4892.522852827054","4892.522852827054","5015.441031362834","5015.441031362834","5015.441031362834","4938.9668591551235","4938.9668591551235","4938.9668591551235","5060.707906563375","5060.707906563375","5060.707906563375","5094.210881150424","5094.210881150424","5094.210881150424","4929.298641759639","4929.298641759639","4929.298641759639"
"150","","","","","","","","","","5023.253823113533","5023.253823113533","5023.253823113533","4966.394018255073","4966.394018255073","4966.394018255073","5106.573488467938","5106.573488467938","5106.573488467938","5013.30619314661","5013.30619314661","5013.30619314661","5002.2419807898605","5002.2419807898605","5002.2419807898605","5011.229900473692","5011.229900473692","5011.229900473692","4848.198566576859","4848.198566576859","4848.198566576859"
"160","","","","","","","","","","5079.761860591409","5079.761860591409","5079.761860591409","4730.814814113441","4730.814814113441","4730.814814113441","4967.757810931083","4967.757810931083","4967.757810931083","5094.703697038265","5094.703697038265","5094.703697038265","4970.455423531591","4970.455423531591","4970.455423531591","5085.596065086014","5085.596065086014","5085.596065086014","5040.381231177695","5040.381231177695","5040.381231177695"
"170","","","","","","","","","","5006.345711265521","5006.345711265521","5006.345711265521","4839.682695640782","4839.682695640782","4839.682695640782","4955.35016375438","4955.35016375438","4955.35016375438","4872.793956920287","4872.793956920287","4872.793956920287","5061.6802700208045","5061.6802700208045","5061.6802700208045","4992.318673311265","4992.318673311265","4992.318673311265","5073.476588393711","5073.476588393711","5073.476588393711"
"180","","","","","","","","","","4945.416788352573","4945.416788352573","4945.416788352573","4757.726992893478","4757.726992893478","4757.726992893478","4997.683733457425","4997.683733457425","4997.683733457425","5068.069828171666","5068.069828171666","5068.069828171666","4932.018095438941","4932.018095438941","4932.018095438941","5007.603068645332","5007.603068645332","5007.603068645332","4702.4982105460695","4702.4982105460695","4702.4982105460695"
"190","","","","","","","","","","5022.0879053566505","5022.0879053566505","5022.0879053566505","4906.825388383794","4906.825388383794","4906.825388383794","4991.974765462766","4991.974765462766","4991.974765462766","5016.703816334218","5016.703816334218","5016.703816334218","4961.726554116488","4961.726554116488","4961.726554116488","4985.399333101849","4985.399333101849","4985.399333101849","5042.782938341807","5042.782938341807","5042.782938341807"
"5000","467.0600977419452","467.0600977419452","467.0600977419452","528.0702367561765","528.0702367561765","528.0702367561765","447.6628446829234","447.6628446829234","447.6628446829234","","","","","","","","","","","","","","","","","","","","",""
"10000","413.4566337475523","413.4566337475523","413.4566337475523","556.0198988143775","556.0198988143775","556.0198988143775","582.0048908921793","582.0048908921793","582.0048908921793","","","","","","","","","","","","","","","","","","","","",""
"15000","614.2509339025332","614.2509339025332","614.2509339025332","652.2179213738654","652.2179213738654","652.2179213738654","531.520103317796","531.520103317796","531.520103317796","","","","","","","","","","","","","","","","","","","","",""
"20000","642.7789882484028","642.7789882484028","642.7789882484028","690.916551399714","690.916551399714","690.916551399714","625.8416073395967","625.8416073395967","625.8416073395967","","","","","","","","","","","","","","","","","","","","",""
"25000","777.313888802581","777.313888802581","777.313888802581","832.300660444107","832.300660444107","832.300660444107","661.6852888795613","661.6852888795613","661.6852888795613","","","","","","","","","","","","","","","","","","","","",""
"30000","934.0843611025211","934.0843611025211","934.0843611025211","811.281054772835","811.281054772835","811.281054772835","675.2266868895282","675.2266868895282","675.2266868895282","","","","","","","","","","","","","","","","","","","","",""
"35000","854.6962300696381","854.6962300696381","854.6962300696381","776.2393548378349","776.2393548378349","776.2393548378349","966.1050444210532","966.1050444210532","966.1050444210532","","","","","","","","","","","","","","","","","","","","",""
"40000","724.2649095100936","724.2649095100936","724.2649095100936","874.1262748666342","874.1262748666342","874.1262748666342","974.0091311267337","974.0091311267337","974.0091311267337","","","","","","","","","","","","","","","","","","","","",""
