"Step","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-09_11-54-21_hopper-medium-v2_fql_mlp_ta4_td4_seed42 - avg episode reward - eval","2025-05-09_11-54-21_hopper-medium-v2_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MIN","2025-05-09_11-54-21_hopper-medium-v2_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MAX","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-01_14-00-00_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-01_14-00-00_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-01_14-00-00_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-04-28_21-53-42_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-04-28_21-53-42_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-04-28_21-53-42_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-04-28_21-53-30_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-04-28_21-53-30_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-04-28_21-53-30_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-04-28_21-52-13_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-04-28_21-52-13_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-04-28_21-52-13_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","15-03-59_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval","15-03-59_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MIN","15-03-59_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MAX","23-55-21_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval","23-55-21_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MIN","23-55-21_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MAX","23-39-24_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval","23-39-24_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MIN","23-39-24_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MAX"
"100","","","","","","","","","","2698.5744989929062","2698.5744989929062","2698.5744989929062","2789.4195986112904","2789.4195986112904","2789.4195986112904","2784.338925456043","2784.338925456043","2784.338925456043","2331.2029241768428","2331.2029241768428","2331.2029241768428","2610.9814308936425","2610.9814308936425","2610.9814308936425","2703.5042937105964","2703.5042937105964","2703.5042937105964","2640.7549861009356","2640.7549861009356","2640.7549861009356","2621.9396087713076","2621.9396087713076","2621.9396087713076","2691.8417508735506","2691.8417508735506","2691.8417508735506"
"110","","","","","","","","","","2871.5685090135585","2871.5685090135585","2871.5685090135585","2840.529144518949","2840.529144518949","2840.529144518949","2780.8660303323986","2780.8660303323986","2780.8660303323986","2474.973705752608","2474.973705752608","2474.973705752608","2567.285366848049","2567.285366848049","2567.285366848049","2691.130177446298","2691.130177446298","2691.130177446298","2581.3291514332486","2581.3291514332486","2581.3291514332486","2574.5753462289695","2574.5753462289695","2574.5753462289695","2650.299785293918","2650.299785293918","2650.299785293918"
"120","","","","","","","","","","2786.690146412575","2786.690146412575","2786.690146412575","2792.327921302949","2792.327921302949","2792.327921302949","2878.8100994732563","2878.8100994732563","2878.8100994732563","2537.890741874839","2537.890741874839","2537.890741874839","2590.9991151969634","2590.9991151969634","2590.9991151969634","2634.1339183077644","2634.1339183077644","2634.1339183077644","2571.4529620422886","2571.4529620422886","2571.4529620422886","2588.2137129183925","2588.2137129183925","2588.2137129183925","2674.593140338662","2674.593140338662","2674.593140338662"
"130","","","","","","","","","","2864.5501761277706","2864.5501761277706","2864.5501761277706","2818.5384748719102","2818.5384748719102","2818.5384748719102","2958.484450761343","2958.484450761343","2958.484450761343","2657.3229011817434","2657.3229011817434","2657.3229011817434","2628.181847388662","2628.181847388662","2628.181847388662","2594.0106119360453","2594.0106119360453","2594.0106119360453","2590.264195762056","2590.264195762056","2590.264195762056","2565.875851720012","2565.875851720012","2565.875851720012","2648.2832513943513","2648.2832513943513","2648.2832513943513"
"140","","","","","","","","","","2846.395692679708","2846.395692679708","2846.395692679708","2761.361289192172","2761.361289192172","2761.361289192172","2994.9538117761017","2994.9538117761017","2994.9538117761017","2636.6067622455366","2636.6067622455366","2636.6067622455366","2676.048102945345","2676.048102945345","2676.048102945345","2615.7434486396623","2615.7434486396623","2615.7434486396623","2532.321697915852","2532.321697915852","2532.321697915852","2607.455688056155","2607.455688056155","2607.455688056155","2659.3178563119836","2659.3178563119836","2659.3178563119836"
"150","","","","","","","","","","2854.4360582518893","2854.4360582518893","2854.4360582518893","2709.6808591095055","2709.6808591095055","2709.6808591095055","2979.679193206106","2979.679193206106","2979.679193206106","2591.392248128089","2591.392248128089","2591.392248128089","2649.6651950928076","2649.6651950928076","2649.6651950928076","2534.8374392603937","2534.8374392603937","2534.8374392603937","2520.7621011108176","2520.7621011108176","2520.7621011108176","2615.2845632647886","2615.2845632647886","2615.2845632647886","2642.499186457246","2642.499186457246","2642.499186457246"
"160","","","","","","","","","","2863.7544304463836","2863.7544304463836","2863.7544304463836","2721.8577254613106","2721.8577254613106","2721.8577254613106","3017.1668191059675","3017.1668191059675","3017.1668191059675","2637.08762621374","2637.08762621374","2637.08762621374","2660.9291661510497","2660.9291661510497","2660.9291661510497","2627.4365378143784","2627.4365378143784","2627.4365378143784","2531.9253299982583","2531.9253299982583","2531.9253299982583","2614.419747581619","2614.419747581619","2614.419747581619","2706.6466327873113","2706.6466327873113","2706.6466327873113"
"170","","","","","","","","","","2896.2159685095376","2896.2159685095376","2896.2159685095376","2813.574364178546","2813.574364178546","2813.574364178546","3037.870698722739","3037.870698722739","3037.870698722739","2638.8894836618633","2638.8894836618633","2638.8894836618633","2637.1418656249907","2637.1418656249907","2637.1418656249907","2638.642382239016","2638.642382239016","2638.642382239016","2504.05887432077","2504.05887432077","2504.05887432077","2613.735048190336","2613.735048190336","2613.735048190336","2732.925116224333","2732.925116224333","2732.925116224333"
"180","","","","","","","","","","2881.475065302832","2881.475065302832","2881.475065302832","2778.3551532287406","2778.3551532287406","2778.3551532287406","3000.5739769324305","3000.5739769324305","3000.5739769324305","2651.521545284145","2651.521545284145","2651.521545284145","2691.6431122658782","2691.6431122658782","2691.6431122658782","2583.4478417022983","2583.4478417022983","2583.4478417022983","2491.3731221662356","2491.3731221662356","2491.3731221662356","2613.315785660784","2613.315785660784","2613.315785660784","2671.1004064842036","2671.1004064842036","2671.1004064842036"
"190","","","","","","","","","","2876.3275847184477","2876.3275847184477","2876.3275847184477","2855.3517387542656","2855.3517387542656","2855.3517387542656","3014.5145032557643","3014.5145032557643","3014.5145032557643","2736.004132062023","2736.004132062023","2736.004132062023","2673.065230836138","2673.065230836138","2673.065230836138","2598.657608970848","2598.657608970848","2598.657608970848","2539.296648295181","2539.296648295181","2539.296648295181","2589.755998502262","2589.755998502262","2589.755998502262","2662.339938449268","2662.339938449268","2662.339938449268"
