"Step","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_13-34-39_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward","2025-05-22_13-34-39_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_13-34-39_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_13-34-28_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward","2025-05-22_13-34-28_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_13-34-28_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_13-33-28_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward","2025-05-22_13-33-28_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_13-33-28_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","2025-05-09_11-54-21_walker2d-medium-v2_fql_mlp_ta4_td4 - avg episode reward - eval","2025-05-09_11-54-21_walker2d-medium-v2_fql_mlp_ta4_td4 - avg episode reward - eval__MIN","2025-05-09_11-54-21_walker2d-medium-v2_fql_mlp_ta4_td4 - avg episode reward - eval__MAX"
"100","4064.7380087459837","4064.7380087459837","4064.7380087459837","3841.7783691597497","3841.7783691597497","3841.7783691597497","3828.553601513327","3828.553601513327","3828.553601513327","3969.154430142262","3969.154430142262","3969.154430142262","3864.7143230150823","3864.7143230150823","3864.7143230150823","4052.2299209186335","4052.2299209186335","4052.2299209186335","3701.80279084819","3701.80279084819","3701.80279084819","3658.466690253358","3658.466690253358","3658.466690253358","3447.3141977949585","3447.3141977949585","3447.3141977949585","","","","","","","","",""
"110","4046.7809142682004","4046.7809142682004","4046.7809142682004","3796.2824927089023","3796.2824927089023","3796.2824927089023","3795.7449128270646","3795.7449128270646","3795.7449128270646","3924.1488721109627","3924.1488721109627","3924.1488721109627","3931.7254249480184","3931.7254249480184","3931.7254249480184","4075.3639155062506","4075.3639155062506","4075.3639155062506","3681.7950657894485","3681.7950657894485","3681.7950657894485","3648.0191699598704","3648.0191699598704","3648.0191699598704","3376.38320872163","3376.38320872163","3376.38320872163","","","","","","","","",""
"120","4067.1328648968747","4067.1328648968747","4067.1328648968747","3807.6696814866423","3807.6696814866423","3807.6696814866423","3846.9957256612033","3846.9957256612033","3846.9957256612033","3999.449762652074","3999.449762652074","3999.449762652074","3922.66373484399","3922.66373484399","3922.66373484399","4131.088520709355","4131.088520709355","4131.088520709355","3690.382196718747","3690.382196718747","3690.382196718747","3671.3540277187103","3671.3540277187103","3671.3540277187103","3451.8908226384765","3451.8908226384765","3451.8908226384765","","","","","","","","",""
"130","4025.2833846630674","4025.2833846630674","4025.2833846630674","4021.9680508829174","4021.9680508829174","4021.9680508829174","3845.5390326162624","3845.5390326162624","3845.5390326162624","4020.0757958538475","4020.0757958538475","4020.0757958538475","3914.670559558089","3914.670559558089","3914.670559558089","4130.529096221879","4130.529096221879","4130.529096221879","3682.2008527635903","3682.2008527635903","3682.2008527635903","3676.584945746398","3676.584945746398","3676.584945746398","3452.031017358879","3452.031017358879","3452.031017358879","","","","","","","","",""
"140","4059.857930168396","4059.857930168396","4059.857930168396","3983.1546735058414","3983.1546735058414","3983.1546735058414","3902.5100343576632","3902.5100343576632","3902.5100343576632","3973.6990001682107","3973.6990001682107","3973.6990001682107","3896.4572315618216","3896.4572315618216","3896.4572315618216","4115.054720947448","4115.054720947448","4115.054720947448","3554.8395641276597","3554.8395641276597","3554.8395641276597","3629.9135995824545","3629.9135995824545","3629.9135995824545","3388.4240169568793","3388.4240169568793","3388.4240169568793","","","","","","","","",""
"150","4086.9433815519587","4086.9433815519587","4086.9433815519587","3977.4057296153887","3977.4057296153887","3977.4057296153887","3936.76700431668","3936.76700431668","3936.76700431668","4045.1423332536156","4045.1423332536156","4045.1423332536156","3966.4198043213282","3966.4198043213282","3966.4198043213282","4057.6024094846844","4057.6024094846844","4057.6024094846844","3712.3483874710882","3712.3483874710882","3712.3483874710882","3662.6992965118675","3662.6992965118675","3662.6992965118675","3391.6488962762146","3391.6488962762146","3391.6488962762146","","","","","","","","",""
"160","4154.382301404471","4154.382301404471","4154.382301404471","4021.684402275874","4021.684402275874","4021.684402275874","3992.232448942124","3992.232448942124","3992.232448942124","4053.139114759381","4053.139114759381","4053.139114759381","3961.304457976469","3961.304457976469","3961.304457976469","4067.2385657416075","4067.2385657416075","4067.2385657416075","3671.3634273612515","3671.3634273612515","3671.3634273612515","3742.768303514013","3742.768303514013","3742.768303514013","3424.8659318986274","3424.8659318986274","3424.8659318986274","","","","","","","","",""
"170","4165.145394274331","4165.145394274331","4165.145394274331","4019.2726198188584","4019.2726198188584","4019.2726198188584","3951.2575586308208","3951.2575586308208","3951.2575586308208","4065.1649878221933","4065.1649878221933","4065.1649878221933","4081.4948577977616","4081.4948577977616","4081.4948577977616","4141.631295226735","4141.631295226735","4141.631295226735","3682.9851627388475","3682.9851627388475","3682.9851627388475","3743.868073654924","3743.868073654924","3743.868073654924","3425.481474221125","3425.481474221125","3425.481474221125","","","","","","","","",""
"180","4159.569576187079","4159.569576187079","4159.569576187079","4095.0827573817164","4095.0827573817164","4095.0827573817164","3966.4699140733806","3966.4699140733806","3966.4699140733806","4069.414840042865","4069.414840042865","4069.414840042865","4047.2254138678604","4047.2254138678604","4047.2254138678604","4151.3983911290825","4151.3983911290825","4151.3983911290825","3741.748451871025","3741.748451871025","3741.748451871025","3721.007115218747","3721.007115218747","3721.007115218747","3461.3793379662466","3461.3793379662466","3461.3793379662466","","","","","","","","",""
"190","4197.71227783842","4197.71227783842","4197.71227783842","4047.3627053384494","4047.3627053384494","4047.3627053384494","3995.365412619258","3995.365412619258","3995.365412619258","4060.3855854521257","4060.3855854521257","4060.3855854521257","4028.5129548891928","4028.5129548891928","4028.5129548891928","4145.971117076826","4145.971117076826","4145.971117076826","3697.387622764573","3697.387622764573","3697.387622764573","3718.9339313131577","3718.9339313131577","3718.9339313131577","3468.97910043382","3468.97910043382","3468.97910043382","","","","","","","","",""
